iajd,family,flux,pKa,MolWt,n_reps_total,n_reps_converged,c0_mean,c0_SE,c0_sd,c0_min,c0_max,c0_seed1,cg_mapping_validated,cg_validation_basis,module_e_rel_err,module_e_status,c0_trusted,c0_resolved_2sigma
81,Dialkoxybenzyl,7.3654879848909,6.19,714.6274591040001,1,0,,,,,,,False,none,,,False,False
105,Dialkoxybenzyl,7.675778341674085,6.5,658.5648588480001,1,1,-2.21555474153644,,,-2.21555474153644,-2.21555474153644,-2.21555474153644,False,none,,,False,False
106,Dialkoxybenzyl,7.541579243946581,6.32,700.61180904,1,1,-3.9790047979890746,,,-3.9790047979890746,-3.9790047979890746,-3.9790047979890746,False,none,,,False,False
107,Dialkoxybenzyl,7.340444114840118,6.42,728.643109168,1,0,,,,,,,False,none,,,False,False
294,Dialkoxybenzyl,7.773786444981194,6.34,562.434572956,1,1,-4.332009491201506,,,-4.332009491201506,-4.332009491201506,-4.332009491201506,False,none,,,False,False
297,Dialkoxybenzyl,6.734799829588847,5.67,562.434572956,1,0,,,,,,,False,none,,,False,False
308,Dialkoxybenzyl,7.600972895686748,5.94,772.6693239159998,1,1,-0.604870690531876,,,-0.604870690531876,-0.604870690531876,-0.604870690531876,False,none,,,False,False
309,Dialkoxybenzyl,7.444044795918076,6.24,816.6955386639999,1,0,,,,,,,False,none,,,False,False
1,G1-Janus-Dendrimer,6.379305517750582,6.27,1164.801185504,1,0,,,,,,,False,none,,,False,False
2,G1-Janus-Dendrimer,5.652246341003323,6.2,1164.801185504,1,0,,,,,,,False,none,,,False,False
8,G1-Janus-Dendrimer,5.597585501752205,6.53,1339.90089954,1,0,,,,,,,False,none,,,False,False
19,G1-Janus-Dendrimer,6.943395576508954,6.38,1227.775699028,1,0,,,,,,,False,none,,,False,False
20,G1-Janus-Dendrimer,5.989983458301399,6.34,1255.806999156,1,1,-5.504372153599856,,,-5.504372153599856,-5.504372153599856,-5.504372153599856,False,none,,,False,False
22,G1-Janus-Dendrimer,5.764475027434409,6.38,1311.869599412,1,1,-4.587177662528385,,,-4.587177662528385,-4.587177662528385,-4.587177662528385,False,none,,,False,False
23,G1-Janus-Dendrimer,6.744684063276886,6.38,1227.775699028,1,1,-6.714903735440558,,,-6.714903735440558,-6.714903735440558,-6.714903735440558,False,none,,,False,False
25,G1-Janus-Dendrimer,5.834357112718405,6.15,1255.806999156,1,0,,,,,,,False,none,,,False,False
34,G1-Janus-Dendrimer,8.1785450998039,6.74,1391.932199668,1,0,,,,,,,False,none,,,False,False
