head_group,head_smiles,n_conf_used,area_mean_nm2,area_std_nm2,area_min_nm2,area_max_nm2,area_p10_nm2,area_p90_nm2,head_area_nm2,boltzmann_kT_kJmol,method,error
DMA,*N(C)C,5,0.15284948670976803,9.98592514041456e-05,0.15277829710570215,0.1530447251306353,0.15278054959768042,0.15296222486721114,0.1528493306959333,2.5785871,gfn2_alpb_water,
MPRZ,*N2CCN(C)CC2,5,0.28687503312476625,0.012775070037166002,0.2644575038250039,0.29664636184171755,0.2709195329327269,0.29652630722164786,0.26854766531115204,2.5785871,gfn2_alpb_water,
PIP,*N2CCCCC2,5,0.28358011768725266,0.006925302425620886,0.27528480198531036,0.2912161410527283,0.2756488872073336,0.2912067741081027,0.2761501117035621,2.5785871,gfn2_alpb_water,
HPRZ,*N2CCN(CCO)CC2,5,0.30519279753100637,0.006293345565090559,0.296857394587529,0.31565337549582373,0.2985779915768657,0.3121385424705396,0.30500425134275827,2.5785871,gfn2_alpb_water,
H2EPRZ,*N2CCN(CCOCCO)CC2,5,0.3369837277810932,0.012521119638816582,0.3288885489186641,0.36189129236105194,0.3292745461582048,0.35013644850921716,0.3288923642447144,2.5785871,gfn2_alpb_water,
DMBA,*Cc2ccc(N(C)C)cc2,5,0.24713448599949733,0.003500791345477432,0.24407911772558982,0.2514488988210139,0.2441870043683141,0.2514256851497681,0.24706383564002304,2.5785871,gfn2_alpb_water,
MPRZ_OMe,*N2CCN(COC)CC2,5,0.2941324722243684,0.00989645403173285,0.2817343012885302,0.30483819941451723,0.282089054715871,0.30356465261711735,0.3016538301135059,2.5785871,gfn2_alpb_water,
MPRZ_OEt,*N2CCN(COCC)CC2,5,0.3116172500434763,0.018683003435853742,0.28638652463111336,0.343136889886892,0.29394179889758565,0.3329887038948845,0.33193974999172365,2.5785871,gfn2_alpb_water,
HPRZ_OMe,*N2CCN(CCOC)CC2,5,0.3238791358987706,0.02103724174450383,0.30700136454926696,0.3640365243644749,0.30717846855762454,0.34792582231048536,0.3074759622017382,2.5785871,gfn2_alpb_water,
DEHPRZ,*N2CCN(CC(O)CO)CC2,5,0.3181057923351564,0.012051765507761677,0.30401440039225974,0.3351249005441295,0.3052224724769972,0.33251154244276276,0.32473587487219535,2.5785871,gfn2_alpb_water,
