IAJD,field,old,new,evidence
1,SMILES,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCO)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
2,SMILES,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC)c2)cc(OCCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
3,SMILES,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
4,SMILES,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
6,SMILES,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)Cc1ccccc1)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
7,SMILES,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c2)cc(OCCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
8,SMILES,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
19,SMILES,CCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCC)c%20,CCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
20,SMILES,CCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCC)c%20,CCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
21,SMILES,CCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCC)c%20,CCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
22,SMILES,CCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCC)c%20,CCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
23,SMILES,CC(CC)CCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCC(CC)CCCC)c%20,CCCCC(CC)COc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCC(C)CC)c1,SI formula match (Tables S12-S17 / MALDI)
25,SMILES,CC(C)CCCC(C)COc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCC(C)CCCC(C)C)c%20,CC(C)CCCC(C)COc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCC(C)CCCC(C)C)c1,SI formula match (Tables S12-S17 / MALDI)
34,SMILES,CCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN1CCCCC1)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN1CCCCC1)c2)cc(OCCCCCCCCCCC)c%20,CCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN3CCCCC3)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2)cc(OCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
35,SMILES,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN1CCN(C)CC1)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN1CCN(C)CC1)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c2)cc(OCCCCCCCCCCCC)c1,SI formula match (Tables S12-S17 / MALDI)
