IAJD,source,n_disagree,disagree,MolWt_user,MolWt_10118,FCSP3_user,FCSP3_10118,HBD_u,HBD_p,Arom_u,Arom_p
1,ja1c05813,0,,1165.6,1165.598,0.781,0.781,1,1,2,2
2,ja1c05813,0,,1165.6,1165.598,0.781,0.781,1,1,2,2
3,ja1c05813,2,"MolWt,RotB",1264.7,1278.758,0.783,0.786,1,1,2,2
4,ja1c05813,2,"MolWt,RotB",1264.7,1292.785,0.783,0.789,1,1,2,2
5,ja1c05813,0,,1363.9,1363.864,0.784,0.784,1,1,2,2
6,ja1c05813,2,"MolWt,RotB",1317.8,1331.821,0.658,0.662,1,1,4,4
7,ja1c05813,2,"MolWt,RotB",1317.8,1331.821,0.658,0.662,1,1,4,4
8,ja1c05813,2,"MolWt,RotB",1340.8,1368.883,0.72,0.727,1,1,3,3
9,ja1c05813,2,"MolWt,RotB",1340.8,1368.883,0.72,0.727,1,1,3,3
19,ja1c05813,2,"MolWt,RotB",1228.6,1256.667,0.687,0.696,1,1,3,3
20,ja1c05813,2,"MolWt,RotB",1256.7,1284.721,0.696,0.704,1,1,3,3
21,ja1c05813,2,"MolWt,RotB",1284.7,1312.775,0.704,0.712,1,1,3,3
22,ja1c05813,2,"MolWt,RotB",1312.8,1340.829,0.712,0.72,1,1,3,3
23,ja1c05813,2,"MolWt,RotB",1228.6,1256.667,0.687,0.696,1,1,3,3
24,ja1c05813,5,"MolWt,FractionCSP3,HBA,RotB,Aromatic",1150.5,1312.775,0.758,0.712,1,1,2,3
25,ja1c05813,4,"MolWt,FractionCSP3,HBA,RotB",1256.7,1553.206,0.696,0.764,1,1,3,3
30,ja1c05813,6,"MolWt,FractionCSP3,HBA,HBD,RotB,Aromatic",1054.5,983.555,0.845,0.948,1,0,1,0
31,ja1c05813,0,,1464.1,1464.065,0.817,0.817,0,0,2,2
33,ja1c05813,6,"MolWt,FractionCSP3,HBA,HBD,RotB,Aromatic",1317.8,1420.959,0.792,0.741,0,1,2,3
34,ja1c05813,0,,1392.9,1392.905,0.734,0.734,1,1,3,3
35,ja1c05813,0,,1451.0,1450.989,0.741,0.741,1,1,3,3
36,ja1c05813,0,,1422.9,1422.935,0.734,0.734,1,1,3,3
44,ja1c05813,0,,1205.7,1205.663,0.791,0.791,1,1,2,2
45,ja1c05813,0,,1220.7,1220.678,0.791,0.791,1,1,2,2
64,ja1c09585,3,"MolWt,FractionCSP3,HBA",645.0,589.946,0.825,0.811,0,0,1,1
65,ja1c09585,0,,630.0,630.011,0.825,0.825,0,0,1,1
66,nan,2,"RotB,Aromatic",645.0,645.026,0.825,0.825,0,0,0,1
70,ja1c09585,0,,644.0,644.042,0.825,0.825,1,1,1,1
71,nan,2,"RotB,Aromatic",675.1,675.052,0.829,0.829,1,1,0,1
73,pharmaceutics,5,"MolWt,FractionCSP3,HBA,HBD,RotB",700.1,616.972,0.841,0.816,1,0,1,1
74,nan,2,"RotB,Aromatic",701.1,701.134,0.841,0.841,0,0,0,1
75,ja1c09585,0,,757.2,757.242,0.854,0.854,0,0,1,1
76,nan,2,"RotB,Aromatic",532.8,532.81,0.781,0.781,0,0,0,1
77,nan,2,"RotB,Aromatic",560.9,560.864,0.794,0.794,0,0,0,1
78,pharmaceutics1501572,0,,645.0,645.026,0.825,0.825,0,0,1,1
79,ja1c09585,0,,829.3,829.349,0.865,0.865,0,0,1,1
81,ja1c09585,0,,715.2,715.161,0.844,0.844,0,0,1,1
83,pharmaceutics1501572,0,,839.4,839.385,0.98,0.98,1,1,0,0
86,ja1c09585,3,"MolWt,FractionCSP3,RotB",687.1,616.972,0.837,0.816,0,0,1,1
88,nan,2,"RotB,Aromatic",532.8,532.81,0.781,0.781,0,0,0,1
89,pharmaceutics1501572,0,,562.8,562.836,0.788,0.788,1,1,1,1
91,nan,2,"RotB,Aromatic",618.9,618.944,0.811,0.811,1,1,0,1
92,ja3c07337,0,,641.0,641.035,0.974,0.974,0,0,0,0
93,bm4c01599,0,,671.1,671.061,0.974,0.974,1,1,0,0
95,nan,0,,763.1,763.07,0.791,0.791,1,1,1,1
96,pharmaceutics1501572,0,,661.0,661.025,0.825,0.825,0,0,1,1
97,ja3c13569|ja5c07232,0,,691.1,691.051,0.829,0.829,1,1,1,1
98,nan,2,"RotB,Aromatic",813.3,813.35,0.865,0.865,0,0,0,1
99,nan,2,"RotB,Aromatic",843.4,843.376,0.868,0.868,1,1,0,1
100,ja3c07337,0,,977.7,977.683,0.984,0.984,0,0,0,0
101,ja3c07337,0,,1007.7,1007.709,0.984,0.984,1,1,0,0
105,ja1c09585,0,,659.1,659.053,0.829,0.829,0,0,1,1
106,ja1c09585,0,,701.1,701.134,0.841,0.841,0,0,1,1
107,ja1c09585,0,,729.2,729.188,0.848,0.848,0,0,1,1
108,pharmaceutics1501572,2,"HBA,HBD",701.1,700.15,0.841,0.841,0,1,1,1
110,nan,2,"RotB,Aromatic",1421.9,1421.943,0.741,0.741,0,0,1,3
111,nan,2,"RotB,Aromatic",1393.9,1393.889,0.734,0.734,0,0,1,3
112,pharmaceutics1501572,0,,574.9,574.891,0.8,0.8,0,0,1,1
113,ja2c00273,0,,604.9,604.917,0.806,0.806,1,1,1,1
116,ja2c00273,0,,645.0,645.026,0.825,0.825,0,0,1,1
117,ja2c00273,0,,675.1,675.052,0.829,0.829,1,1,1,1
119,ja2c00273,0,,703.1,703.106,0.837,0.837,1,1,1,1
120,ja2c00273,0,,717.1,717.133,0.841,0.841,1,1,1,1
121,pharmaceutics1501572,0,,588.9,588.918,0.806,0.806,0,0,1,1
122,ja2c00273,0,,618.9,618.944,0.811,0.811,1,1,1,1
123,pharmaceutics1501572,0,,631.0,630.999,0.821,0.821,0,0,1,1
124,ja2c00273,0,,661.0,661.025,0.825,0.825,1,1,1,1
125,ja2c00273,0,,689.1,689.079,0.833,0.833,1,1,1,1
127,ja2c00273,0,,731.2,731.16,0.844,0.844,1,1,1,1
128,ja2c00273,0,,745.2,745.187,0.848,0.848,1,1,1,1
129,pharmaceutics1501572,0,,574.9,574.891,0.8,0.8,0,0,1,1
130,ja2c00273,0,,604.9,604.917,0.806,0.806,1,1,1,1
131,nan,2,"RotB,Aromatic",1492.1,1492.078,0.756,0.756,0,0,1,3
133,ja2c00273,0,,658.1,658.069,0.829,0.829,1,1,1,1
134,pharmaceutics1501572,5,"MolWt,FractionCSP3,HBA,RotB,Aromatic",601.0,1205.663,0.816,0.791,1,1,1,2
135,ja2c00273,0,,631.0,630.999,0.821,0.821,0,0,1,1
136,ja2c00273,0,,661.0,661.025,0.825,0.825,1,1,1,1
137,pharmaceutics1501572,0,,631.0,630.999,0.821,0.821,0,0,1,1
138,ja2c00273,0,,661.0,661.025,0.825,0.825,1,1,1,1
139,pharmaceutics1501572,0,,645.0,645.026,0.825,0.825,0,0,1,1
140,pharmaceutics1501572,0,,675.1,675.052,0.829,0.829,1,1,1,1
141,ja2c00273,0,,659.1,659.053,0.829,0.829,0,0,1,1
142,ja2c00273,0,,689.1,689.079,0.833,0.833,1,1,1,1
143,ja2c00273,0,,687.1,687.107,0.837,0.837,0,0,1,1
144,ja2c00273,0,,717.1,717.133,0.841,0.841,1,1,1,1
147,ja2c00273,0,,715.2,715.161,0.844,0.844,0,0,1,1
148,ja2c00273,0,,745.2,745.187,0.848,0.848,1,1,1,1
149,ja2c00273,0,,743.2,743.215,0.851,0.851,0,0,1,1
150,ja2c00273,0,,773.2,773.241,0.854,0.854,1,1,1,1
151,ja2c00273,0,,757.2,757.242,0.854,0.854,0,0,1,1
152,ja2c00273,0,,787.3,787.268,0.857,0.857,1,1,1,1
153,ja2c00273,0,,771.3,771.269,0.857,0.857,0,0,1,1
154,ja2c00273,0,,801.3,801.295,0.86,0.86,1,1,1,1
155,nan,2,"RotB,Aromatic",1351.8,1351.808,0.724,0.724,0,0,1,3
156,nan,2,"RotB,Aromatic",1436.0,1435.97,0.744,0.744,0,0,1,3
157,nan,2,"RotB,Aromatic",1450.0,1449.997,0.747,0.747,0,0,1,3
158,nan,2,"RotB,Aromatic",1478.1,1478.051,0.753,0.753,0,0,1,3
159,nan,2,"RotB,Aromatic",1477.1,1477.067,0.753,0.753,1,1,1,3
161,ja2c00273,0,,602.9,602.945,0.811,0.811,0,0,1,1
162,ja2c00273,0,,633.0,632.971,0.816,0.816,1,1,1,1
163,pharmaceutics1501572,0,,602.9,602.945,0.811,0.811,0,0,1,1
164,pharmaceutics1501572,0,,633.0,632.971,0.816,0.816,1,1,1,1
165,pharmaceutics1501572,0,,617.0,616.972,0.816,0.816,0,0,1,1
166,pharmaceutics1501572,0,,647.0,646.998,0.821,0.821,1,1,1,1
167,pharmaceutics1501572,0,,631.0,630.999,0.821,0.821,0,0,1,1
168,pharmaceutics1501572,0,,661.0,661.025,0.825,0.825,1,1,1,1
169,pharmaceutics1501572,0,,659.1,659.053,0.829,0.829,0,0,1,1
170,pharmaceutics1501572,0,,689.1,689.079,0.833,0.833,1,1,1,1
171,ja2c00273,0,,687.1,687.107,0.837,0.837,0,0,1,1
172,ja2c00273,0,,717.1,717.133,0.841,0.841,1,1,1,1
173,ja2c00273,0,,715.2,715.161,0.844,0.844,0,0,1,1
