IAJD,file,conf,status,smiles_changed,old_smiles,new_smiles,old_status,evidence,exclude
26,pKa,MED,RESOLVED_SERIES_ARCH,False,CCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc3cc(OCCCCCCCCCC)cc(OCCCCCCCCCC)c3)cc(OCCCCCCCCCC)c%20,CCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc3cc(OCCCCCCCCCC)cc(OCCCCCCCCCC)c3)cc(OCCCCCCCCCC)c%20,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features unt","PE-Gallic twin (Lib6/Lib4); not in 10118 library and formula not in extractable SI text. SMILES is internally consistent, fits the homologous chain-length series, and matches its architecture-label decomposition (head/benzyl/chain census). Inference-grade; SI hi-res figure would upgrade to HIGH.",False
27,pKa,MED,RESOLVED_SERIES_ARCH,False,CCCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc3cc(OCCCCCCCCCCC)cc(OCCCCCCCCCCC)c3)cc(OCCCCCCCCCCC)c%20,CCCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc3cc(OCCCCCCCCCCC)cc(OCCCCCCCCCCC)c3)cc(OCCCCCCCCCCC)c%20,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features unt","PE-Gallic twin (Lib6/Lib4); not in 10118 library and formula not in extractable SI text. SMILES is internally consistent, fits the homologous chain-length series, and matches its architecture-label decomposition (head/benzyl/chain census). Inference-grade; SI hi-res figure would upgrade to HIGH.",False
28,pKa,MED,RESOLVED_SERIES_ARCH,False,CCCCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc3cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c3)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc3cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c3)cc(OCCCCCCCCCCCC)c%20,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features unt","PE-Gallic twin (Lib6/Lib4); not in 10118 library and formula not in extractable SI text. SMILES is internally consistent, fits the homologous chain-length series, and matches its architecture-label decomposition (head/benzyl/chain census). Inference-grade; SI hi-res figure would upgrade to HIGH.",False
29,pKa,MED,RESOLVED_SERIES_ARCH,False,CC(CC)CCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc3cc(OCC(CC)CCCC)cc(OCC(CC)CCCC)c3)cc(OCC(CC)CCCC)c%20,CC(CC)CCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc3cc(OCC(CC)CCCC)cc(OCC(CC)CCCC)c3)cc(OCC(CC)CCCC)c%20,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features unt","PE-Gallic twin (Lib6/Lib4); not in 10118 library and formula not in extractable SI text. SMILES is internally consistent, fits the homologous chain-length series, and matches its architecture-label decomposition (head/benzyl/chain census). Inference-grade; SI hi-res figure would upgrade to HIGH.",False
30,pKa,LOW,FORMULA_RESOLVED_CONN_LOW,True,CCCCCCCCCCCCOc%20cc(CNC(=O)CC(COCCOCCOCOC(=O)CCCN(C)C)COCCOCCOCOC(=O)CCCN(C)C)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCCCCCCCCOCC(COCCOC(=O)CCCN(C)C)(COCCOC(=O)CCCN(C)C)COC(=O)CCCCCCCCCCCCCCCCC,UNRESOLVED:Lib4 module-D: glycol typo + scaffold unresolved vs SI - verify,"formula C58H114N2O9 CERTAIN (10118 #30 MW983.555 + SI MALDI calcd C58H115N2O9=[M+H]+); DoU=3 => acyclic, 3 esters, 2 DMBA, Aromatic=0. Composition forces long ether/ester alkyl tails. Connectivity (tail split / core) underdetermined by descriptors -> needs SI figure. Best-guess pentaerythritol Janus provided; EXCLUDE from structure-features.",True
31,pKa,HIGH,CONFIRMED_10118,False,CCCCCCCCCCCCOc1c(OCCCCCCCCCCCC)c(OCCCCCCCCCCCC)cc(COC(=O)CC(COCCOCCOCOC(=O)CCCN(C)C)(COCCOCCOCOc2ccccc2)COCCOCCOCOC(=O)CCCN(C)C)c1,CCCCCCCCCCCCOc1c(OCCCCCCCCCCCC)c(OCCCCCCCCCCCC)cc(COC(=O)CC(COCCOCCOCOC(=O)CCCN(C)C)(COCCOCCOCOc2ccccc2)COCCOCCOCOC(=O)CCCN(C)C)c1,UNRESOLVED:Lib4 module-D: unresolved vs SI - verify,"full 6-descriptor vector matches 10118 #31 (MW1464.07, HBA21, Ar2)",False
33,pKa,HIGH,RESOLVED_10118+SI,True,CCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCC)c(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c2)cc(OCCCCCCCCCCC)c1,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN3CCCCC3)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2)cc(OCCCCCCCCCCCC)c1,UNRESOLVED:Lib3: multiple SI formula matches (ambiguous head/chain) - verify,"bis-C12 gallic-AMIDE with 2x piperidine(PIP) + 1x benzyl(OBn) = C81H133N3O17 = exact 10118 #33 vector (MW1420.96,HBA19,HBD1,Ar3) AND SI MALDI calcd C81H134N3O17 = [M+H]+. Heads MPRZ->PIP (10118 needs 3 N not 5).",False
38,pKa,MED,RESOLVED_SERIES_ARCH,False,CCCCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCO)c2C(=O)OCc3cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c3)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCO)c2C(=O)OCc3cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c3)cc(OCCCCCCCCCCCC)c%20,"pKa_corrected_vs_SI_avg; UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE fr","PE-Gallic twin (Lib6/Lib4); not in 10118 library and formula not in extractable SI text. SMILES is internally consistent, fits the homologous chain-length series, and matches its architecture-label decomposition (head/benzyl/chain census). Inference-grade; SI hi-res figure would upgrade to HIGH.",False
39,pKa,MED,RESOLVED_SERIES_ARCH,False,CCCCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c2C(=O)OCc3cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c3)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c2C(=O)OCc3cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c3)cc(OCCCCCCCCCCCC)c%20,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features unt","PE-Gallic twin (Lib6/Lib4); not in 10118 library and formula not in extractable SI text. SMILES is internally consistent, fits the homologous chain-length series, and matches its architecture-label decomposition (head/benzyl/chain census). Inference-grade; SI hi-res figure would upgrade to HIGH.",False
40,pKa,MED,RESOLVED_SERIES_ARCH,False,CCCCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c2C(=O)OCc3cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c3)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc%20cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c2C(=O)OCc3cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c3)cc(OCCCCCCCCCCCC)c%20,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features unt","PE-Gallic twin (Lib6/Lib4); not in 10118 library and formula not in extractable SI text. SMILES is internally consistent, fits the homologous chain-length series, and matches its architecture-label decomposition (head/benzyl/chain census). Inference-grade; SI hi-res figure would upgrade to HIGH.",False
