IAJD,status,formula_old,formula_new,smiles_old,smiles_new,si_validated
1,FIXED_OH->OMe,C62H108N2O16,C64H112N2O16,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCO)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,True
2,FIXED_OH->OMe,C62H108N2O16,C64H112N2O16,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC)c2)cc(OCCCCCCCCCCCC)c1,True
3,FIXED_OH->OMe,C68H119N3O17,C69H121N3O17,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,True
4,FIXED_OH->OMe,C68H119N3O17,C69H121N3O17,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,True
5,OK_ASIS,C74H130N4O18,C74H130N4O18,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c%20,True
6,FIXED_phenylacetate->OBn,C78H120N2O18,C76H120N2O16,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)Cc1ccccc1)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,True
7,FIXED_phenylacetate->OBn,C78H120N2O18,C76H120N2O16,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c2)cc(OCCCCCCCCCCCC)c1,True
8,FIXED_phenylacetate->OBn,C76H125N3O18,C75H125N3O17,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c2)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,True
9,NEEDS_RECONSTRUCTION,C68H118N2O17,,CCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCC)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,,False
10,NEEDS_RECONSTRUCTION,C126H217N5O33,,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCO)c2C(=O)NCc3cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCO)c3C(=O)NCc4cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c4)cc(OCCCCCCCCCCCC)c%20,,False
11,NEEDS_RECONSTRUCTION,C126H217N5O33,,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c2C(=O)NCc3cc(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c3C(=O)NCc4cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c4)cc(OCCCCCCCCCCCC)c%20,,False
12,NEEDS_RECONSTRUCTION,C138H239N7O35,,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c2C(=O)NCc3cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c3C(=O)NCc4cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c4)cc(OCCCCCCCCCCCC)c%20,,False
13,NEEDS_RECONSTRUCTION,C138H239N7O35,,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)NCc3cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c3C(=O)NCc4cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c4)cc(OCCCCCCCCCCCC)c%20,,False
14,NEEDS_RECONSTRUCTION,C150H261N9O37,,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)NCc3cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c3C(=O)NCc4cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c4)cc(OCCCCCCCCCCCC)c%20,,False
15,NEEDS_RECONSTRUCTION,C158H241N5O37,,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)Cc1ccccc1)c2C(=O)NCc3cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)Cc1ccccc1)c3C(=O)NCc4cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c4)cc(OCCCCCCCCCCCC)c%20,,False
16,NEEDS_RECONSTRUCTION,C158H241N5O37,,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c2C(=O)NCc3cc(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c3C(=O)NCc4cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c4)cc(OCCCCCCCCCCCC)c%20,,False
17,NEEDS_RECONSTRUCTION,C154H251N7O37,,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c2C(=O)NCc3cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c3C(=O)NCc4cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c4)cc(OCCCCCCCCCCCC)c%20,,False
18,NEEDS_RECONSTRUCTION,C154H251N7O37,,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)NCc3cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c3C(=O)NCc4cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c4)cc(OCCCCCCCCCCCC)c%20,,False
19,FIXED_phenylacetate->OBn,C68H109N3O18,C67H109N3O17,CCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCC)c%20,CCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCC)c1,True
20,FIXED_phenylacetate->OBn,C70H113N3O18,C69H113N3O17,CCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCC)c%20,CCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCC)c1,True
