iajd_num,smiles_canonical,family,ExactMolWt,NumNitrogens,source,confidence,notes
37,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,PE-Gallic,1367.8958,3,ja1c05813,LOW,PE-gallic between 36(MPRZ13.Bn2) and 38(HTM.DMBA1)
52,CCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCN(C)C)c2)cc(OCCCCCCCCCCC)c1,PE-Gallic,1312.8172,2,ja1c05813,LOW,PE-gallic HTM.C11 between DMA and PIP variants
59,CCCCCCCCCCCCOc1cc(CNC(=O)CCCN2CCCCC2)cc(OCCCCCCCCCCCC)c1,sSS-Nonsym,628.5543,2,ja1c09585,LOW,sSS-12/12-4C-PIP-amide
60,CCCCCCCCCCCCCCOc1cc(CNC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCC)c1,sSS-Nonsym,643.5652,3,ja1c09585,LOW,sSS-10/14-4C-MPRZ-amide
61,CCCCCCCCCCCCCCCCOc1cc(CNC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCC)c1,sSS-Nonsym,643.5652,3,ja1c09585,LOW,sSS-8/16-4C-MPRZ-amide
62,CCCCCCCCCCCCCCOc1cc(CNC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCC)c1,sSS-Nonsym,673.5758,3,ja1c09585,LOW,sSS-10/14-4C-HPRZ-amide
63,CCCCCCCCCCCCCCCCOc1cc(CNC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCC)c1,sSS-Nonsym,673.5758,3,ja1c09585,LOW,sSS-8/16-4C-HPRZ-amide
67,CCCCCCCCCCCCOc1cc(COC(=O)CCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,sSS-Nonsym,630.5336,2,ja1c09585,MEDIUM,sSS-C12-3C-MPRZ-ester
68,CCCCCCCCCCCCOc1cc(COC(=O)CCCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,sSS-Nonsym,658.5649,2,ja1c09585,MEDIUM,sSS-C12-5C-MPRZ-ester
69,CCCCCCCCCCCCOc1cc(COC(=O)CCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCC)c1,sSS-Nonsym,660.5441,2,ja1c09585,MEDIUM,sSS-C12-3C-HPRZ-ester
