iajd_num,family,pka,smiles,smiles_canonical,ExactMolWt,NumNitrogens,NumEsters,NumEthers,source,confidence,notes,error
9,PE-Gallic,6.56,CCCCCCCCCCCCOc4cc(COC(=O)c5cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCC)c5)cc(OCCCCCCCCCCCC)c4,CCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCC)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,1234.8431,2,3,9,ja1c05813,MEDIUM,PE-gallic-PE.C12.DMBA12.Bn3 variant — IAJD9 from paper pKa table,
24,PE-Gallic,6.4,CC(C)CCCC(C)COc4cc(CNC(=O)c5cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCC)c5)cc(OCC(C)CCCC(C)C)c4,CCOCCOCCOc1cc(C(=O)NCc2cc(OCC(C)CCCC(C)C)cc(OCC(C)CCCC(C)C)c2)cc(OCCOCCOCCOC(=O)CCCN(C)C)c1OCCOCCOCCOC(=O)CCCN(C)C,1149.7651,3,2,8,ja1c05813,MEDIUM,PE-gallic variant between EH and dm8 tail types,
33,PE-Gallic,6.66,CCCCCCCCCCCOc4cc(COC(=O)c5cc(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c(OCCOCCOCC)c5)cc(OCCCCCCCCCCC)c4,CCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCC)c(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c2)cc(OCCCCCCCCCCC)c1,1316.8961,4,3,9,ja1c05813,LOW,PE-Gallic or G1-Janus variant — pKa from bioact dataset,
43,PE-Gallic,6.45,CCCCCCCCCCCCOc4cc(COC(=O)c5cc(OCCOCCOCCOC(=O)CCCN3CCCCC3)c(OCCOCCOCC)c(OCCOCCOCC)c5)cc(OCCCCCCCCCCCC)c4,CCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCC)c(OCCOCCOCC)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2)cc(OCCCCCCCCCCCC)c1,1145.7954,1,2,8,ja1c05813,LOW,PE-gallic PIP variant near 44,
53,PE-Gallic,6.27,CCCCCCCCCCCCOc4cc(COC(=O)c5cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCC)c5)cc(OCCCCCCCCCCCC)c4,CCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCC)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,1239.8009,1,3,9,ja1c05813,LOW,PE-gallic Bn23 variant,
56,sSS-Nonsym,,CCCCCCCCCCCCOc1cc(COC(=O)CCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,CCCCCCCCCCCCOc1cc(COC(=O)CCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,630.5336,2,1,1,ja1c09585,LOW,sSS-C12-3C-MPRZ-ester,
57,sSS-Nonsym,,CCCCCCCCCCCCOc1cc(COC(=O)CCCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,CCCCCCCCCCCCOc1cc(COC(=O)CCCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,658.5649,2,1,1,ja1c09585,LOW,sSS-C12-5C-MPRZ-ester,
58,sSS-Nonsym,,CCCCCCCCCCCCOc1cc(COC(=O)CCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCC)c1,CCCCCCCCCCCCOc1cc(COC(=O)CCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCC)c1,660.5441,2,1,1,ja1c09585,LOW,sSS-C12-3C-HPRZ-ester,
59,sSS-Nonsym,,CCCCCCCCCCCCOc1cc(COC(=O)CCCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCC)c1,CCCCCCCCCCCCOc1cc(COC(=O)CCCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCC)c1,688.5754,2,1,1,ja1c09585,LOW,sSS-C12-5C-HPRZ-ester,
67,sSS-Nonsym,,CCCCCCCCCCCCOc1cc(CNC(=O)CCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,CCCCCCCCCCCCOc1cc(CNC(=O)CCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,629.5495,3,0,0,ja1c09585,MEDIUM,sSS-C12-3C-MPRZ-amide,
