row_id,IAJD_id,family_table,canonical_smiles,predicted_pKa,measured_pKa_v21,family_v21,pka_source
1001,IAJD_001,G1-Janus-Dendrimer,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCO)c(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,6.348557982630068,6.27,PE-Gallic,v21_loo
1002,IAJD_002,G1-Janus-Dendrimer,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c2)cc(OCCCCCCCCCCCC)c1,6.343253066357865,6.2,PE-Gallic,v21_loo
1003,IAJD_003,G1-Janus-Dendrimer,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,6.334785366978065,6.41,PE-Gallic,v21_loo
1004,IAJD_004,G1-Janus-Dendrimer,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,6.330336880346138,6.43,PE-Gallic,v21_loo
1005,IAJD_005,G1-Janus-Dendrimer,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,6.338728592925269,6.4,PE-Gallic,v21_loo
1006,IAJD_006,G1-Janus-Dendrimer,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)Cc3ccccc3)c2)cc(OCCCCCCCCCCCC)c1,6.3154235484732455,6.3,PE-Gallic,v21_loo
1007,IAJD_007,G1-Janus-Dendrimer,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c2)cc(OCCCCCCCCCCCC)c1,6.339329926423007,6.18,PE-Gallic,v21_loo
1008,IAJD_008,G1-Janus-Dendrimer,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c2)cc(OCCCCCCCCCCCC)c1,6.299583091924223,6.53,PE-Gallic,v21_loo
1009,IAJD_010,PE-Gallic,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCO)c2C(=O)NCc2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCO)c2C(=O)NCc2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)cc(OCCCCCCCCCCCC)c1,6.133614610720539,6.34,PE-Gallic,v21_loo
1010,IAJD_011,PE-Gallic,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c2C(=O)NCc2cc(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c2C(=O)NCc2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)cc(OCCCCCCCCCCCC)c1,6.145266004870384,6.3,PE-Gallic,v21_loo
